15,2,22,15,0
81,69,89,81,46
34,30,49,34,7
63,54,68,63,9
3,1,6,3,0
51,43,68,51,3
82,49,88,82,86
73,65,77,73,24
1,1,3,1,1
4,0,9,4,0
3,1,8,3,0
2,1,8,2,0
86,69,88,86,71
33,4,45,33,1
70,61,74,70,44
2,0,5,2,0
5,2,6,5,16
1,0,2,1,0
4,1,8,4,1
24,9,29,24,0
64,46,74,64,25
84,70,93,84,46
16,10,25,16,2
8,2,16,8,0
2,1,4,2,0
18,10,33,18,0
7,4,14,7,0
17,9,24,17,5
46,33,53,46,14
75,81,74,75,62
36,33,36,36,23
50,32,66,50,12
72,69,81,72,53
1,1,4,1,0
30,21,50,30,5
9,5,24,9,0
70,68,74,70,49
5,3,13,5,0
3,1,6,3,0
37,13,50,37,2
80,71,84,80,43
6,1,14,6,0
8,4,18,8,0
27,8,40,27,2
44,37,47,44,18
5,2,9,5,1
95,94,96,95,71
12,3,24,12,0
0,0,1,0,0
67,64,85,67,70
