15.0,2.0,22.0,15.0,0.0,1.5481628038213606
81.0,69.0,89.0,81.0,46.0,2.8144576327102366
34.0,30.0,49.0,34.0,7.0,4.012682691563421
63.0,54.0,68.0,63.0,9.0,8.66369904722966
3.0,1.0,6.0,3.0,0.0,1.059388427860274
51.0,43.0,68.0,51.0,3.0,8.022802341699046
82.0,49.0,88.0,82.0,86.0,26.708450858651613
73.0,65.0,77.0,73.0,24.0,7.10822907416609
1.0,1.0,3.0,1.0,1.0,2.0387593533984196
4.0,0.0,9.0,4.0,0.0,0.9057718369329091
3.0,1.0,8.0,3.0,0.0,0.9138850447959497
2.0,1.0,8.0,2.0,0.0,1.1563987552726989
86.0,69.0,88.0,86.0,71.0,6.96974992652529
33.0,4.0,45.0,33.0,1.0,9.344531181603754
70.0,61.0,74.0,70.0,44.0,1.2160577263882024
2.0,0.0,5.0,2.0,0.0,1.1885719928789387
5.0,2.0,6.0,5.0,16.0,3.5768249382346595
1.0,0.0,2.0,1.0,0.0,2.3376696632886533
4.0,1.0,8.0,4.0,1.0,1.1187194486258776
24.0,9.0,29.0,24.0,0.0,2.9698875154344657
64.0,46.0,74.0,64.0,25.0,3.0262831533385173
84.0,70.0,93.0,84.0,46.0,3.366262543335578
16.0,10.0,25.0,16.0,2.0,0.38813178752697813
8.0,2.0,16.0,8.0,0.0,0.6800222469281816
2.0,1.0,4.0,2.0,0.0,1.559844913953305
18.0,10.0,33.0,18.0,0.0,2.8034155187677015
7.0,4.0,14.0,7.0,0.0,0.6994372421186148
17.0,9.0,24.0,17.0,5.0,0.3949697628623206
46.0,33.0,53.0,46.0,14.0,1.5092846569946676
75.0,81.0,74.0,75.0,62.0,8.783387264449967
36.0,33.0,36.0,36.0,23.0,1.9759640461533359
50.0,32.0,66.0,50.0,12.0,3.9144864336628573
72.0,69.0,81.0,72.0,53.0,4.866996325006379
1.0,1.0,4.0,1.0,0.0,1.7416027794107256
30.0,21.0,50.0,30.0,5.0,6.9750578538024754
9.0,5.0,24.0,9.0,0.0,4.0961109807510745
70.0,68.0,74.0,70.0,49.0,2.8235778263405686
5.0,3.0,13.0,5.0,0.0,1.2231179949426305
3.0,1.0,6.0,3.0,0.0,1.059388427860274
37.0,13.0,50.0,37.0,2.0,5.7267340663681
80.0,71.0,84.0,80.0,43.0,3.0716797463393624
6.0,1.0,14.0,6.0,0.0,0.7780257620134619
8.0,4.0,18.0,8.0,0.0,1.2226082395008926
27.0,8.0,40.0,27.0,2.0,3.255909483155424
44.0,37.0,47.0,44.0,18.0,1.518469407510117
5.0,2.0,9.0,5.0,1.0,1.1963315919490598
95.0,94.0,96.0,95.0,71.0,6.405755635043584
12.0,3.0,24.0,12.0,0.0,1.340459305499342
0.0,0.0,1.0,0.0,0.0,2.7961297190327863
67.0,64.0,85.0,67.0,70.0,19.144715058027323
